date,cases,total cases,death,total death,intensive care,hosp_patients,airplane passengers monthly average,min temp,max temp,school closures,retail and recreation,grocery and pharmacy,residential,transit stations,parks,workplaces,total doses,total new doses,total vaccinated,cancel public events,stringency index,stay home requirements,face coverings,public information campaigns,close public transport,international travel control,testing policy,Workplace closing,Restrictions on gatherings,Restrictions on internal movement,International travel controls,Income support,Debt/contract relief,Contact tracing,Vaccination policy,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
2020-02-17,0,1,0,0,0,0,34047,4.9,8.3,0,-4,-3.333,1.333,-4.333,-10,-4.333,0,0,0,0,5.56,0,0,1,0,0,1,0,0,0,0,0,0,2,0,11.46,13.1,0
2020-02-18,0,1,0,0,0,0,34047,6.1,7.8,0,-3,-2.5,1.25,-4.25,-4.25,-4.5,0,0,0,0,5.56,0,0,1,0,0,1,0,0,0,0,0,0,2,0,11.46,13.1,0
2020-02-19,0,1,0,0,0,0,34047,4,6.1,0,-1.8,-1.8,1.2,-4,1.8,-4.6,0,0,0,0,5.56,0,0,1,0,0,1,0,0,0,0,0,0,2,0,11.46,13.1,0
2020-02-20,0,1,0,0,0,0,34047,0.1,5.2,0,-1.333,-1.333,1.167,-4.333,1.333,-4.833,0,0,0,0,5.56,0,0,1,0,0,1,0,0,0,0,0,0,2,0,11.46,13.1,0
2020-02-21,0,1,0,0,0,0,34047,4.6,7.4,0,-0.429,-1.143,1.143,-4,4.286,-5.143,0,0,0,0,5.56,0,0,1,0,0,1,0,0,0,0,0,0,2,0,11.46,13.1,0
2020-02-22,0,1,0,0,0,0,34047,5.6,8.9,0,-0.714,-1.286,1.286,-4.857,2.429,-5.286,0,0,0,0,5.56,0,0,1,0,0,1,0,0,0,0,0,0,2,0,11.46,13.1,0
2020-02-23,0,1,0,0,0,0,34047,4.3,7.6,0,1,-0.286,1,-3.286,10,-4.714,0,0,0,0,5.56,0,0,1,0,0,1,0,0,0,0,0,0,2,0,11.46,13.1,0
2020-02-24,0,1,0,0,0,0,34047,1,5,0,1.857,0.143,0.857,-2.857,13.857,-4.429,0,0,0,0,5.56,0,0,1,0,0,1,0,0,0,0,0,0,2,0,11.46,13.1,0
2020-02-25,0,1,0,0,0,0,34047,-0.3,4.1,0,3,1.429,0.857,-2.714,13.143,-4.286,0,0,0,0,5.56,0,0,1,0,0,1,0,0,0,0,0,0,2,0,11.46,13.1,0
2020-02-26,1,2,0,0,0,0,34047,-0.5,1.8,0,3.286,1.571,0.857,-3,10,-4.143,0,0,0,0,5.56,0,0,1,0,0,1,0,0,0,0,0,0,2,0,11.46,13.1,0
2020-02-27,1,3,0,0,0,1,34047,-2.6,-0.4,0,4.143,2,0.857,-2.429,11.571,-4,0,0,0,0,5.56,0,0,1,0,0,1,0,0,0,0,0,0,2,0,11.46,13.1,0
2020-02-28,8,11,0,0,0,1,34047,-2.4,0.9,0,4.429,2.286,0.857,-2.286,10.714,-3.857,0,0,0,0,5.56,0,0,1,0,0,1,0,0,0,0,0,0,2,0,11.46,13.1,0
2020-02-29,3,14,0,0,0,1,34047,-0.2,4.1,0,5.571,3,0.714,-1.286,13.286,-3.429,0,0,0,0,5.56,0,0,1,0,0,1,0,0,0,0,0,0,2,0,11.46,13.1,0
2020-03-01,0,14,0,0,0,1,12663,3,5.4,0,5.143,2.714,0.857,-2.143,9,-3.571,0,0,0,0,5.56,0,0,1,0,0,1,0,0,0,0,0,0,2,0,11.46,13.1,0
