date,new_cases,total_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,AY.4.2,B.1.1.529,B.1.1.7,B.1.1.7+E484K,B.1.351,B.1.427/B.1.429,B.1.525,B.1.526,B.1.616,B.1.617,B.1.617.1,B.1.617.2,B.1.617.3,B.1.620,B.1.621,B.1.640,C.1.2,C.37,P.1,P.3,UNK,Other
2020-02-01,1,1,0,0,0,0,0.098,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-02,0,1,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,-408.1,-4.17,-0.46,-40.16669424,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,0,1,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,0,1,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,0,1,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,0,1,0.143,0,0,0,0.098,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,0,1,0.143,0,0,0,0.098,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-08,0,1,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-09,0,1,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,-545,-4.65,-7.16,-53.64089282,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,0,1,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,0,1,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,0,1,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,0,1,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-14,0,1,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-15,0,1,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-16,0,1,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,-623.1,-4.56,-4.01,-61.3277804,,,,,,,,,,,,,,,,,,,,,,
2020-02-17,0,1,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
