Entity,Code,Day,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces
Sweden,SWE,2020-02-17,-4,-3.333,1.333,-4.333,-10,-4.333
Sweden,SWE,2020-02-18,-3,-2.5,1.25,-4.25,-4.25,-4.5
Sweden,SWE,2020-02-19,-1.8,-1.8,1.2,-4,1.8,-4.6
Sweden,SWE,2020-02-20,-1.333,-1.333,1.167,-4.333,1.333,-4.833
Sweden,SWE,2020-02-21,-0.429,-1.143,1.143,-4,4.286,-5.143
Sweden,SWE,2020-02-22,-0.714,-1.286,1.286,-4.857,2.429,-5.286
Sweden,SWE,2020-02-23,1,-0.286,1,-3.286,10,-4.714
Sweden,SWE,2020-02-24,1.857,0.143,0.857,-2.857,13.857,-4.429
Sweden,SWE,2020-02-25,3,1.429,0.857,-2.714,13.143,-4.286
Sweden,SWE,2020-02-26,3.286,1.571,0.857,-3,10,-4.143
Sweden,SWE,2020-02-27,4.143,2,0.857,-2.429,11.571,-4
Sweden,SWE,2020-02-28,4.429,2.286,0.857,-2.286,10.714,-3.857
Sweden,SWE,2020-02-29,5.571,3,0.714,-1.286,13.286,-3.429
Sweden,SWE,2020-03-01,5.143,2.714,0.857,-2.143,9,-3.571
Sweden,SWE,2020-03-02,5,3,0.857,-2.143,7,-3.286
Sweden,SWE,2020-03-03,3.857,2,0.857,-2.286,6.571,-3
Sweden,SWE,2020-03-04,2.857,1.571,0.857,-2.286,5.714,-2.714
Sweden,SWE,2020-03-05,1.857,1.429,0.857,-2.571,5.429,-2.286
Sweden,SWE,2020-03-06,1.143,1.286,0.857,-2.571,6.571,-1.714
Sweden,SWE,2020-03-07,0.714,1.286,0.857,-2.429,10.571,-1.714
Sweden,SWE,2020-03-08,1,1.286,0.857,-2.429,11.571,-1.571
Sweden,SWE,2020-03-09,0.571,1,0.857,-2.714,11.286,-1.286
Sweden,SWE,2020-03-10,0,0.857,0.857,-3,11,-1
Sweden,SWE,2020-03-11,-0.286,1.571,1,-3.286,12.714,-0.857
Sweden,SWE,2020-03-12,-2,2.714,1.429,-5,9.143,-1.143
Sweden,SWE,2020-03-13,-4.143,3.714,2.143,-7.571,5.143,-2.286
Sweden,SWE,2020-03-14,-7.286,4.429,2.571,-10.286,8.429,-3.143
Sweden,SWE,2020-03-15,-11,4.429,3.143,-13.714,6.286,-4.429
