Entity;Code;Day;stringency_index
Sweden;SWE;2020-01-21;0
Sweden;SWE;2020-01-22;0
Sweden;SWE;2020-01-23;0
Sweden;SWE;2020-01-24;0
Sweden;SWE;2020-01-25;0
Sweden;SWE;2020-01-26;0
Sweden;SWE;2020-01-27;0
Sweden;SWE;2020-01-28;0
Sweden;SWE;2020-01-29;0
Sweden;SWE;2020-01-30;0
Sweden;SWE;2020-01-31;0
Sweden;SWE;2020-02-01;5.56
Sweden;SWE;2020-02-02;5.56
Sweden;SWE;2020-02-03;5.56
Sweden;SWE;2020-02-04;5.56
Sweden;SWE;2020-02-05;5.56
Sweden;SWE;2020-02-06;5.56
Sweden;SWE;2020-02-07;5.56
Sweden;SWE;2020-02-08;5.56
Sweden;SWE;2020-02-09;5.56
Sweden;SWE;2020-02-10;5.56
Sweden;SWE;2020-02-11;5.56
Sweden;SWE;2020-02-12;5.56
Sweden;SWE;2020-02-13;5.56
Sweden;SWE;2020-02-14;5.56
Sweden;SWE;2020-02-15;5.56
Sweden;SWE;2020-02-16;5.56
Sweden;SWE;2020-02-17;5.56
Sweden;SWE;2020-02-18;5.56
Sweden;SWE;2020-02-19;5.56
Sweden;SWE;2020-02-20;5.56
Sweden;SWE;2020-02-21;5.56
Sweden;SWE;2020-02-22;5.56
Sweden;SWE;2020-02-23;5.56
Sweden;SWE;2020-02-24;5.56
Sweden;SWE;2020-02-25;5.56
Sweden;SWE;2020-02-26;5.56
Sweden;SWE;2020-02-27;5.56
Sweden;SWE;2020-02-28;5.56
Sweden;SWE;2020-02-29;5.56
Sweden;SWE;2020-03-01;5.56
Sweden;SWE;2020-03-02;13.89
Sweden;SWE;2020-03-03;13.89
Sweden;SWE;2020-03-04;19.44
Sweden;SWE;2020-03-05;19.44
Sweden;SWE;2020-03-06;19.44
Sweden;SWE;2020-03-07;19.44
Sweden;SWE;2020-03-08;19.44
Sweden;SWE;2020-03-09;19.44
Sweden;SWE;2020-03-10;19.44
Sweden;SWE;2020-03-11;19.44
Sweden;SWE;2020-03-12;30.56
Sweden;SWE;2020-03-13;30.56
Sweden;SWE;2020-03-14;30.56
Sweden;SWE;2020-03-15;30.56
Sweden;SWE;2020-03-16;34.26
Sweden;SWE;2020-03-17;41.67
Sweden;SWE;2020-03-18;41.67
Sweden;SWE;2020-03-19;47.22
Sweden;SWE;2020-03-20;47.22
Sweden;SWE;2020-03-21;47.22
Sweden;SWE;2020-03-22;47.22
Sweden;SWE;2020-03-23;47.22
Sweden;SWE;2020-03-24;47.22
Sweden;SWE;2020-03-25;50.93
Sweden;SWE;2020-03-26;50.93
Sweden;SWE;2020-03-27;50.93
Sweden;SWE;2020-03-28;50.93
Sweden;SWE;2020-03-29;59.26
Sweden;SWE;2020-03-30;59.26
Sweden;SWE;2020-03-31;59.26
Sweden;SWE;2020-04-01;64.81
Sweden;SWE;2020-04-02;64.81
