date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;reproduction_rate;icu_patients;hosp_patients;weekly_icu_admissions;weekly_hosp_admissions;new_tests;total_tests;new_tests_smoothed;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;total_boosters;new_vaccinations;new_vaccinations_smoothed;people_vaccinated_per_hundred;new_people_vaccinated_smoothed;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index;excess_mortality_cumulative_absolute;excess_mortality_cumulative;excess_mortality;excess_mortality_cumulative_per_million
2020-02-17;1.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;5.56;10160159.0;24.718;41.0;19.985;13.433;46949.283;0.5;133.982;4.79;18.8;18.9;;2.22;82.8;0.945;;;;
2020-02-18;1.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;5.56;10160159.0;24.718;41.0;19.985;13.433;46949.283;0.5;133.982;4.79;18.8;18.9;;2.22;82.8;0.945;;;;
2020-02-19;1.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;5.56;10160159.0;24.718;41.0;19.985;13.433;46949.283;0.5;133.982;4.79;18.8;18.9;;2.22;82.8;0.945;;;;
2020-02-20;1.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;5.56;10160159.0;24.718;41.0;19.985;13.433;46949.283;0.5;133.982;4.79;18.8;18.9;;2.22;82.8;0.945;;;;
2020-02-21;1.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;5.56;10160159.0;24.718;41.0;19.985;13.433;46949.283;0.5;133.982;4.79;18.8;18.9;;2.22;82.8;0.945;;;;
2020-02-22;1.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;5.56;10160159.0;24.718;41.0;19.985;13.433;46949.283;0.5;133.982;4.79;18.8;18.9;;2.22;82.8;0.945;;;;
2020-02-23;1.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;5.56;10160159.0;24.718;41.0;19.985;13.433;46949.283;0.5;133.982;4.79;18.8;18.9;;2.22;82.8;0.945;-812.2;-5.18;-9.39;-79.9396938571532
2020-02-24;1.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;5.56;10160159.0;24.718;41.0;19.985;13.433;46949.283;0.5;133.982;4.79;18.8;18.9;;2.22;82.8;0.945;;;;
2020-02-25;1.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;5.56;10160159.0;24.718;41.0;19.985;13.433;46949.283;0.5;133.982;4.79;18.8;18.9;;2.22;82.8;0.945;;;;
2020-02-26;2.0;1.0;0.143;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;5.56;10160159.0;24.718;41.0;19.985;13.433;46949.283;0.5;133.982;4.79;18.8;18.9;;2.22;82.8;0.945;;;;
