date,new_cases,total_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,new_tests,total_tests,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,new_people_vaccinated_smoothed,stringency_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,B.1.1.7,B.1.617.2,B.1.1.529,Other,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
2020-02-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,-408.1,-4.17,-0.46,-40.16669424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,5.56,5.56,9.52,9.52,11.46,11.46,13.1,13.1,0,0
2020-02-02,0,1,,,,,,,,,,,,,,,,,,,5.56,-408.1,-4.17,-0.46,-40.16669424,,,,,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,5.56,5.56,9.52,9.52,11.46,11.46,13.1,13.1,0,0
2020-02-03,0,1,,,,,,,,,,,,,,,,,,,5.56,-408.1,-4.17,-0.46,-40.16669424,,,,,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,5.56,5.56,9.52,9.52,11.46,11.46,13.1,13.1,0,0
2020-02-04,0,1,,,,,,,,,,,,,,,,,,,5.56,-408.1,-4.17,-0.46,-40.16669424,,,,,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,5.56,5.56,9.52,9.52,11.46,11.46,13.1,13.1,0,0
2020-02-05,0,1,,,,,,,,,,,,,,,,,,,5.56,-408.1,-4.17,-0.46,-40.16669424,,,,,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,5.56,5.56,9.52,9.52,11.46,11.46,13.1,13.1,0,0
2020-02-06,0,1,0.143,,,,,,,,,,,,,,,,,,5.56,-408.1,-4.17,-0.46,-40.16669424,,,,,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,5.56,5.56,9.52,9.52,11.46,11.46,13.1,13.1,0,0
2020-02-07,0,1,0.143,,,,,,,,,,,,,,,,,,5.56,-408.1,-4.17,-0.46,-40.16669424,,,,,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,5.56,5.56,9.52,9.52,11.46,11.46,13.1,13.1,0,0
2020-02-08,0,1,0,,,,,,,,,,,,,,,,,,5.56,-408.1,-4.17,-0.46,-40.16669424,,,,,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,5.56,5.56,9.52,9.52,11.46,11.46,13.1,13.1,0,0
2020-02-09,0,1,0,,,,,,,,,,,,,,,,,,5.56,-545,-4.65,-7.16,-53.64089282,,,,,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,5.56,5.56,9.52,9.52,11.46,11.46,13.1,13.1,0,0
2020-02-10,0,1,0,,,,,,,,,,,,,,,,,,5.56,-545,-4.65,-7.16,-53.64089282,,,,,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,5.56,5.56,9.52,9.52,11.46,11.46,13.1,13.1,0,0
