Datum_avliden,Antal_avlidna
11/03/2020,1
12/03/2020,0
13/03/2020,1
14/03/2020,1
15/03/2020,2
16/03/2020,2
17/03/2020,1
18/03/2020,6
19/03/2020,7
20/03/2020,9
21/03/2020,8
22/03/2020,11
23/03/2020,11
24/03/2020,21
25/03/2020,22
26/03/2020,31
27/03/2020,32
28/03/2020,35
29/03/2020,38
30/03/2020,45
31/03/2020,48
01/04/2020,53
02/04/2020,70
03/04/2020,80
04/04/2020,70
05/04/2020,85
06/04/2020,90
07/04/2020,84
08/04/2020,115
09/04/2020,86
10/04/2020,90
11/04/2020,102
12/04/2020,97
13/04/2020,84
14/04/2020,91
15/04/2020,115
16/04/2020,111
17/04/2020,83
18/04/2020,86
19/04/2020,87
20/04/2020,85
21/04/2020,62
22/04/2020,77
23/04/2020,86
24/04/2020,89
25/04/2020,73
26/04/2020,74
27/04/2020,74
28/04/2020,83
29/04/2020,83
30/04/2020,78
01/05/2020,78
02/05/2020,72
03/05/2020,75
04/05/2020,83
05/05/2020,72
06/05/2020,73
07/05/2020,80
08/05/2020,60
09/05/2020,68
10/05/2020,73
11/05/2020,65
12/05/2020,61
13/05/2020,50
14/05/2020,46
15/05/2020,58
16/05/2020,48
17/05/2020,52
18/05/2020,59
19/05/2020,41
20/05/2020,52
21/05/2020,53
22/05/2020,56
23/05/2020,55
24/05/2020,44
25/05/2020,42
26/05/2020,28
27/05/2020,38
28/05/2020,40
29/05/2020,40
30/05/2020,38
31/05/2020,46
01/06/2020,39
02/06/2020,36
03/06/2020,28
04/06/2020,44
05/06/2020,37
06/06/2020,29
07/06/2020,33
08/06/2020,38
09/06/2020,33
10/06/2020,39
11/06/2020,35
12/06/2020,29
13/06/2020,33
14/06/2020,27
15/06/2020,30
16/06/2020,28
17/06/2020,32
18/06/2020,29
19/06/2020,30
20/06/2020,29
21/06/2020,22
22/06/2020,20
23/06/2020,25
24/06/2020,22
25/06/2020,23
26/06/2020,11
27/06/2020,14
28/06/2020,23
29/06/2020,16
30/06/2020,20
01/07/2020,15
02/07/2020,15
03/07/2020,8
04/07/2020,15
05/07/2020,9
06/07/2020,15
07/07/2020,12
08/07/2020,10
09/07/2020,15
10/07/2020,14
11/07/2020,10
12/07/2020,8
13/07/2020,12
14/07/2020,8
15/07/2020,6
16/07/2020,6
17/07/2020,7
18/07/2020,11
19/07/2020,7
20/07/2020,6
21/07/2020,7
22/07/2020,6
23/07/2020,5
24/07/2020,3
25/07/2020,1
26/07/2020,2
27/07/2020,6
28/07/2020,4
29/07/2020,1
30/07/2020,0
31/07/2020,2
01/08/2020,2
02/08/2020,3
03/08/2020,4
04/08/2020,2
