dag;Datum;Antal avlidna;Antal fall
1;01/02/2020;0;1
2;02/02/2020;0;1
3;03/02/2020;0;1
4;04/02/2020;0;1
5;05/02/2020;0;1
6;06/02/2020;0;1
7;07/02/2020;0;1
8;08/02/2020;0;1
9;09/02/2020;0;1
10;10/02/2020;0;1
11;11/02/2020;0;1
12;12/02/2020;0;1
13;13/02/2020;0;1
14;14/02/2020;0;1
15;15/02/2020;0;1
16;16/02/2020;0;1
17;17/02/2020;0;1
18;18/02/2020;0;1
19;19/02/2020;0;1
20;20/02/2020;0;1
21;21/02/2020;0;1
22;22/02/2020;0;1
23;23/02/2020;0;1
24;24/02/2020;0;1
25;25/02/2020;0;1
26;26/02/2020;0;2
27;27/02/2020;0;3
28;28/02/2020;0;11
29;29/02/2020;0;14
30;01/03/2020;0;14
31;02/03/2020;0;19
32;03/03/2020;0;32
33;04/03/2020;0;62
34;05/03/2020;0;87
35;06/03/2020;0;146
36;07/03/2020;0;179
37;08/03/2020;0;225
38;09/03/2020;0;326
39;10/03/2020;1;424
40;11/03/2020;1;620
41;12/03/2020;2;771
42;13/03/2020;3;923
43;14/03/2020;5;994
44;15/03/2020;7;1063
45;16/03/2020;8;1146
46;17/03/2020;14;1265
47;18/03/2020;21;1410
48;19/03/2020;30;1553
49;20/03/2020;38;1733
50;21/03/2020;49;1868
51;22/03/2020;60;1986
52;23/03/2020;81;2168
53;24/03/2020;103;2398
54;25/03/2020;134;2712
55;26/03/2020;166;2998
56;27/03/2020;201;3363
57;28/03/2020;239;3663
58;29/03/2020;284;3943
59;30/03/2020;332;4359
60;31/03/2020;385;4834
61;01/04/2020;455;5320
62;02/04/2020;535;5874
63;03/04/2020;605;6475
64;04/04/2020;373;6832
65;05/04/2020;401;7172
66;06/04/2020;477;7561
67;07/04/2020;591;8299
68;08/04/2020;687;8954
69;09/04/2020;793;9599
70;10/04/2020;870;10053
71;11/04/2020;887;10448
72;12/04/2020;899;10912
73;13/04/2020;919;11349
74;14/04/2020;1033;11828
75;15/04/2020;1203;12432
76;16/04/2020;1333;13055
77;17/04/2020;1400;13743
78;18/04/2020;1511;14275
79;19/04/2020;1540;14663
80;20/04/2020;1580;15124
81;21/04/2020;1765;15831
82;22/04/2020;1937;16553
83;23/04/2020;2021;17311
84;24/04/2020;2152;18090
85;25/04/2020;2192;18563
86;26/04/2020;2194;18863
87;27/04/2020;2274;19426
88;28/04/2020;2355;20168
89;29/04/2020;2462;20966
90;30/04/2020;2586;21601
91;01/05/2020;2653;22133
