Datum_vårdstart;Antal_intensivvårdade
06/03/2020;1
07/03/2020;1
08/03/2020;1
09/03/2020;0
10/03/2020;2
11/03/2020;1
12/03/2020;0
13/03/2020;2
14/03/2020;6
15/03/2020;5
16/03/2020;5
17/03/2020;3
18/03/2020;15
19/03/2020;8
20/03/2020;17
21/03/2020;13
22/03/2020;27
23/03/2020;37
24/03/2020;32
25/03/2020;31
26/03/2020;40
27/03/2020;29
28/03/2020;28
29/03/2020;41
30/03/2020;29
31/03/2020;34
01/04/2020;48
02/04/2020;47
03/04/2020;39
04/04/2020;36
05/04/2020;44
06/04/2020;44
07/04/2020;45
08/04/2020;47
09/04/2020;36
10/04/2020;36
11/04/2020;45
12/04/2020;36
13/04/2020;43
14/04/2020;41
15/04/2020;32
16/04/2020;33
17/04/2020;39
18/04/2020;29
19/04/2020;33
20/04/2020;28
21/04/2020;34
22/04/2020;49
23/04/2020;27
24/04/2020;46
25/04/2020;28
26/04/2020;26
27/04/2020;28
28/04/2020;32
29/04/2020;25
30/04/2020;33
01/05/2020;15
02/05/2020;28
03/05/2020;27
04/05/2020;25
05/05/2020;20
06/05/2020;26
07/05/2020;28
08/05/2020;26
09/05/2020;14
10/05/2020;17
11/05/2020;15
12/05/2020;16
13/05/2020;19
14/05/2020;15
15/05/2020;21
16/05/2020;18
17/05/2020;20
18/05/2020;23
19/05/2020;13
20/05/2020;14
21/05/2020;13
22/05/2020;15
23/05/2020;16
24/05/2020;17
25/05/2020;28
26/05/2020;14
27/05/2020;15
28/05/2020;19
29/05/2020;13
30/05/2020;19
31/05/2020;14
01/06/2020;20
02/06/2020;15
03/06/2020;18
04/06/2020;16
05/06/2020;20
06/06/2020;20
07/06/2020;14
08/06/2020;16
09/06/2020;16
10/06/2020;8
11/06/2020;12
12/06/2020;12
13/06/2020;14
14/06/2020;12
15/06/2020;13
16/06/2020;9
17/06/2020;13
18/06/2020;13
19/06/2020;8
20/06/2020;6
21/06/2020;12
22/06/2020;15
23/06/2020;7
24/06/2020;6
25/06/2020;10
26/06/2020;5
27/06/2020;5
28/06/2020;8
29/06/2020;4
30/06/2020;5
01/07/2020;6
02/07/2020;10
03/07/2020;3
04/07/2020;1
05/07/2020;5
06/07/2020;2
07/07/2020;2
08/07/2020;1
09/07/2020;2
10/07/2020;2
11/07/2020;2
12/07/2020;3
13/07/2020;3
14/07/2020;2
15/07/2020;0
16/07/2020;4
17/07/2020;3
18/07/2020;0
19/07/2020;2
20/07/2020;3
21/07/2020;5
22/07/2020;1
23/07/2020;1
24/07/2020;1
25/07/2020;0
26/07/2020;1
27/07/2020;1
28/07/2020;0
29/07/2020;2
30/07/2020;0
31/07/2020;1
01/08/2020;3
02/08/2020;4
03/08/2020;1
04/08/2020;1
05/08/2020;3
06/08/2020;2
07/08/2020;2
08/08/2020;5
09/08/2020;2
10/08/2020;1
11/08/2020;3
12/08/2020;2
13/08/2020;4
14/08/2020;0
15/08/2020;2
16/08/2020;1
17/08/2020;1
18/08/2020;2
19/08/2020;2
20/08/2020;1
21/08/2020;0
22/08/2020;1
23/08/2020;1
24/08/2020;3
25/08/2020;1
26/08/2020;1
27/08/2020;1
28/08/2020;0
29/08/2020;0
30/08/2020;1
