Datum;Ank;Avg;Summa
Jan-20;1 080 883;941 081;2 021 964
Feb-20;965 641;987 385;1 953 026
Mar-20;538 779;392 559;931 338
Apr-20;25 564;14 456;40 020
May-20;30 700;25 424;56 124
Jun-20;54 014;61 958;115 972
Jul-20;146 404;194 103;340 507
Aug-20;262 427;209 781;472 208
Sep-20;209 305;211 000;420 305
Oct-20;238 686;243 232;481 918
Nov-20;140 187;120 498;260 685
Dec-20;125 849;168 406;294 255
Jan-21;144 533;101 356;245 889
Feb-21;78 797;79 379;158 176
Mar-21;97 953;102 648;200 601
Apr-21;119 919;107 296;227 215
May-21;142 102;143 015;285 117
Jun-21;231 182;323 114;554 296
Jul-21;537 417;612 488;1 149 905
Aug-21;679 924;522 096;1 202 020
Sep-21;525 341;556 419;1 081 760
Oct-21;612 056;636 535;1 248 591
Nov-21;618 961;557 355;1 176 316
Dec-21;503 584;618 058;1 121 642
