Date;Total Doses;New Doses;Vaccinated
Dec 26, 2020;0;0;0
Dec 27, 2020;309;309;0
Dec 28, 2020;618;309;0
Dec 29, 2020;927;309;0
Dec 30, 2020;1,236;309;0
Dec 31, 2020;1,545;309;0
Jan 1, 2021;1,854;309;0
Jan 2, 2021;2,163;309;0
Jan 3, 2021;2,474;311;2,474
Jan 4, 2021;4,486;2,012;4,486
Jan 5, 2021;6,498;2,012;6,498
Jan 6, 2021;8,51;2,012;8,51
Jan 7, 2021;10,522;2,012;10,522
Jan 8, 2021;12,534;2,012;12,534
Jan 9, 2021;14,546;2,012;14,546
Jan 10, 2021;16,559;2,013;16,559
Jan 11, 2021;33,2;16,641;33,12
Jan 12, 2021;49,841;16,641;49,681
Jan 13, 2021;66,482;16,641;66,242
Jan 14, 2021;83,123;16,641;82,803
Jan 15, 2021;99,764;16,641;99,364
Jan 16, 2021;116,405;16,641;115,925
Jan 17, 2021;133,046;16,641;132,488
Jan 18, 2021;149,727;16,681;147,525
Jan 19, 2021;166,408;16,681;162,562
Jan 20, 2021;183,089;16,681;177,599
Jan 21, 2021;199,77;16,681;192,636
Jan 22, 2021;216,451;16,681;207,673
Jan 23, 2021;233,132;16,681;222,71
Jan 24, 2021;249,815;16,683;237,748
Jan 25, 2021;262,882;13,067;247
Jan 26, 2021;275,949;13,067;256,252
Jan 27, 2021;289,016;13,067;265,504
Jan 28, 2021;302,083;13,067;274,756
Jan 29, 2021;315,15;13,067;284,008
Jan 30, 2021;328,217;13,067;293,26
Jan 31, 2021;341,288;13,071;302,513
Feb 1, 2021;355,641;14,353;308,705
Feb 2, 2021;369,994;14,353;314,897
Feb 3, 2021;384,347;14,353;321,089
Feb 4, 2021;398,7;14,353;327,281
Feb 5, 2021;413,053;14,353;333,473
Feb 6, 2021;427,406;14,353;339,665
Feb 7, 2021;441,76;14,354;345,857
Feb 8, 2021;458,661;16,901;352,494
Feb 9, 2021;475,562;16,901;359,131
Feb 10, 2021;492,463;16,901;365,768
Feb 11, 2021;509,364;16,901;372,405
Feb 12, 2021;526,265;16,901;379,042
Feb 13, 2021;543,166;16,901;385,679
Feb 14, 2021;560,071;16,905;392,321
Feb 15, 2021;582,219;22,148;402,359
Feb 16, 2021;604,367;22,148;412,397
Feb 17, 2021;626,515;22,148;422,435
Feb 18, 2021;648,663;22,148;432,473
Feb 19, 2021;670,811;22,148;442,511
Feb 20, 2021;692,959;22,148;452,549
Feb 21, 2021;715,108;22,149;462,593
Feb 22, 2021;737,541;22,433;477,146
Feb 23, 2021;759,974;22,433;491,699
Feb 24, 2021;782,407;22,433;506,252
Feb 25, 2021;804,84;22,433;520,805
Feb 26, 2021;827,273;22,433;535,358
Feb 27, 2021;849,706;22,433;549,911
Feb 28, 2021;872,142;22,436;564,467
Mar 1, 2021;899,345;27,203;586,214
Mar 2, 2021;926,548;27,203;607,961
Mar 3, 2021;953,751;27,203;629,708
Mar 4, 2021;980,954;27,203;651,455
Mar 5, 2021;1,008,157;27,203;673,202
Mar 6, 2021;1,035,360;27,203;694,949
Mar 7, 2021;1,062,565;27,205;716,702
Mar 8, 2021;1,094,274;31,709;742,748
Mar 9, 2021;1,125,983;31,709;768,794
Mar 10, 2021;1,157,692;31,709;794,84
Mar 11, 2021;1,189,401;31,709;820,886
Mar 12, 2021;1,221,110;31,709;846,932
Mar 13, 2021;1,252,819;31,709;872,978
Mar 14, 2021;1,284,528;31,709;899,025
Mar 15, 2021;1,309,528;25;916,04
Mar 16, 2021;1,334,528;25;933,055
Mar 17, 2021;1,359,528;25;950,07
Mar 18, 2021;1,384,528;25;967,085
Mar 19, 2021;1,409,528;25;984,1
Mar 20, 2021;1,434,528;25;1,001,115
Mar 21, 2021;1,459,533;25,005;1,018,131
Mar 22, 2021;1,487,965;28,432;1,036,557
Mar 23, 2021;1,516,397;28,432;1,054,983
Mar 24, 2021;1,544,829;28,432;1,073,409
Mar 25, 2021;1,573,261;28,432;1,091,835
Mar 26, 2021;1,601,693;28,432;1,110,261
Mar 27, 2021;1,630,125;28,432;1,128,687
Mar 28, 2021;1,658,563;28,438;1,147,113
Mar 29, 2021;1,696,608;38,045;1,175,300
Mar 30, 2021;1,734,653;38,045;1,203,487
Mar 31, 2021;1,772,698;38,045;1,231,674
Apr 1, 2021;1,810,743;38,045;1,259,861
Apr 2, 2021;1,848,788;38,045;1,288,048
Apr 3, 2021;1,886,833;38,045;1,316,235
Apr 4, 2021;1,924,878;38,045;1,344,428
Apr 5, 2021;1,974,431;49,553;1,380,464
Apr 6, 2021;2,023,984;49,553;1,416,500
Apr 7, 2021;2,073,537;49,553;1,452,536
Apr 8, 2021;2,123,090;49,553;1,488,572
Apr 9, 2021;2,172,643;49,553;1,524,608
Apr 10, 2021;2,222,196;49,553;1,560,644
Apr 11, 2021;2,271,751;49,555;1,596,680
Apr 12, 2021;2,339,792;68,041;1,655,134
Apr 13, 2021;2,407,833;68,041;1,713,588
Apr 14, 2021;2,475,874;68,041;1,772,042
Apr 15, 2021;2,543,915;68,041;1,830,496
Apr 16, 2021;2,611,956;68,041;1,888,950
Apr 17, 2021;2,679,997;68,041;1,947,404
Apr 18, 2021;2,748,041;68,044;2,005,859
Apr 19, 2021;2,811,153;63,112;2,063,454
Apr 20, 2021;2,874,265;63,112;2,121,049
Apr 21, 2021;2,937,377;63,112;2,178,644
Apr 22, 2021;3,000,489;63,112;2,236,239
Apr 23, 2021;3,063,601;63,112;2,293,834
Apr 24, 2021;3,126,713;63,112;2,351,429
Apr 25, 2021;3,189,826;63,113;2,409,028
Apr 26, 2021;3,247,118;57,292;2,462,330
Apr 27, 2021;3,304,410;57,292;2,515,632
Apr 28, 2021;3,361,702;57,292;2,568,934
Apr 29, 2021;3,418,994;57,292;2,622,236
Apr 30, 2021;3,476,286;57,292;2,675,538
May 1, 2021;3,533,578;57,292;2,728,840
May 2, 2021;3,590,876;57,298;2,782,146
May 3, 2021;3,656,546;65,67;2,831,197
May 4, 2021;3,722,216;65,67;2,880,248
May 5, 2021;3,787,886;65,67;2,929,299
May 6, 2021;3,853,556;65,67;2,978,350
May 7, 2021;3,919,226;65,67;3,027,401
May 8, 2021;3,984,896;65,67;3,076,452
May 9, 2021;4,050,569;65,673;3,125,506
May 10, 2021;4,111,609;61,04;3,165,354
May 11, 2021;4,172,649;61,04;3,205,202
May 12, 2021;4,233,689;61,04;3,245,050
May 13, 2021;4,294,729;61,04;3,284,898
May 14, 2021;4,355,769;61,04;3,324,746
May 15, 2021;4,416,809;61,04;3,364,594
May 16, 2021;4,477,852;61,043;3,404,442
May 17, 2021;4,542,946;65,094;3,440,113
May 18, 2021;4,608,040;65,094;3,475,784
May 19, 2021;4,673,134;65,094;3,511,455
May 20, 2021;4,738,228;65,094;3,547,126
May 21, 2021;4,803,322;65,094;3,582,797
May 22, 2021;4,868,416;65,094;3,618,468
May 23, 2021;4,933,514;65,098;3,654,145
May 24, 2021;5,002,891;69,377;3,682,127
May 25, 2021;5,072,268;69,377;3,710,109
May 26, 2021;5,141,645;69,377;3,738,091
May 27, 2021;5,211,022;69,377;3,766,073
May 28, 2021;5,280,399;69,377;3,794,055
May 29, 2021;5,349,776;69,377;3,822,037
May 30, 2021;5,419,157;69,381;3,850,021
May 31, 2021;5,502,879;83,722;3,880,962
Jun 1, 2021;5,586,601;83,722;3,911,903
Jun 2, 2021;5,670,323;83,722;3,942,844
Jun 3, 2021;5,754,045;83,722;3,973,785
Jun 4, 2021;5,837,767;83,722;4,004,726
Jun 5, 2021;5,921,489;83,722;4,035,667
Jun 6, 2021;6,005,213;83,724;4,066,612
Jun 7, 2021;6,102,615;97,402;4,105,106
Jun 8, 2021;6,200,017;97,402;4,143,600
Jun 9, 2021;6,297,419;97,402;4,182,094
Jun 10, 2021;6,394,821;97,402;4,220,588
Jun 11, 2021;6,492,223;97,402;4,259,082
Jun 12, 2021;6,589,625;97,402;4,297,576
Jun 13, 2021;6,687,028;97,403;4,336,074
Jun 14, 2021;6,797,572;110,544;4,379,384
Jun 15, 2021;6,908,116;110,544;4,422,694
Jun 16, 2021;7,018,660;110,544;4,466,004
Jun 17, 2021;7,129,204;110,544;4,509,314
Jun 18, 2021;7,239,748;110,544;4,552,624
Jun 19, 2021;7,350,292;110,544;4,595,934
Jun 20, 2021;7,460,838;110,546;4,639,250
Jun 21, 2021;7,551,949;91,111;4,680,528
Jun 22, 2021;7,643,060;91,111;4,721,806
Jun 23, 2021;7,734,171;91,111;4,763,084
